chip,lane,name,type,start,end,path
CL100043472,L01,ZYLib20170921-GCLMT,PE26+100+8,2017/10/21,2017/10/27,/zfssz3/CNGB_DATA/zebra01/P17Z10200N0142_Temp/CL100043472_L01
CL100043472,L02,ZYLib20170921-GCLMP,PE26+100+8,2017/10/21,2017/10/27,/zfssz3/CNGB_DATA/zebra01/P17Z10200N0142_Temp/CL100043472_L02
CL100043473,L01,ZYLib20170921-GCLMT,PE26+100+8,2017/10/21,2017/10/27,/zfssz3/CNGB_DATA/zebra01/P17Z10200N0142_Temp/CL100043473_L01
CL100043473,L02,ZYLib20170921-GCLMP,PE26+100+8,2017/10/21,2017/10/27,/zfssz3/CNGB_DATA/zebra01/P17Z10200N0142_Temp/CL100043473_L02
CL100043474,L01,ZYLib20170921-GCLMT,PE26+100+8,2017/10/21,2017/10/26,/zfssz3/CNGB_DATA/zebra01/P17Z10200N0142_Temp/CL100043474_L01
CL100043474,L02,ZYLib20170921-GCLMP,PE26+100+8,2017/10/21,2017/10/26,/zfssz3/CNGB_DATA/zebra01/P17Z10200N0142_Temp/CL100043474_L02
CL100054364,L01,ZYLib20171023-GCHGS,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054364_L01
CL100054364,L02,ZYLib20171023-GCTZJ,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054364_L02
CL100054365,L01,ZYLib20171023-GCCJQ,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054365_L01
CL100054365,L02,ZYLib20171023-GCXJZ,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054365_L02
CL100054367,L01,ZYLib20171023-GCHGS,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054367_L01
CL100054367,L02,ZYLib20171023-GCTZJ,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054367_L02
CL100054368,L01,ZYLib20171023-GCCJQ,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054368_L01
CL100054368,L02,ZYLib20171023-GCXJZ,PE26+100+8,2017/12/8,2017/12/14,/ldfssz2/zebra_bgiseq500/zebra01/P17Z10200N0344_Temp/CL100054368_L02
